link,title,location,comapany name,description
/jobs/p/XNFKjzvSaYIN-Data-Center-Engineer-Smart-System-Cairo-Egypt?o=34&l=sp&t=sj&a=data science|search-v3|navbg,Data Center Engineer,"New Cairo, Cairo, Egypt",Smart System -,Full TimeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data center · Cisco · Software Engineering · Vmware · Cloud Computing · CCNP · CCNA · Servers
/jobs/p/8mpWfbTOXUdy-Big-Data-Engineer-Worex-Riyadh-Saudi-Arabia?o=35&l=sp&t=sj&a=data science|search-v3|navbg,Big Data Engineer,"Riyadh, Saudi Arabia",Worex -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Engineering · Kafka · Computer Science
/jobs/p/twClZ8jLx53y-Business-Data-Administrator-KSA-Riyadh-Saudi-Arabia?o=36&l=sp&t=sj&a=data science|search-v3|navbg,Business Data Administrator (KSA),"Riyadh, Saudi Arabia",Confidential -,Full TimeExperienced · 2 - 4 Yrs of Exp · Administration · IT/Software Development · Analysis · Business Analysis · Data · Data Analysis · Programming · SQL · Database · Computer Science
/jobs/p/dIieJT5piZvq-Data-Analyst-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt?o=37&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst,"Nasr City, Cairo, Egypt",Unimix Egypt for Readymix concrete -,Full TimeExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Engineering - Other · Business Analysis · Analysis · Data Analysis · Computer Science · Information Technology (IT) · Analytical · Business
/jobs/p/R8iqlBsI38Af-Business-Data-Analyst-Fawry-Plus-Giza-Egypt?o=38&l=sp&t=sj&a=data science|search-v3|navbg,Business Data Analyst,"Smart Village, Giza, Egypt",Fawry Plus -,Full TimeEntry Level · 1 - 3 Yrs of Exp · Analyst/Research · business · Analyst · Business Analysis · Data Analyst · Analysis · Data Analysis · English · Information Technology (IT) · Computer Science
/jobs/p/SqZCjDBkUe22-Data-Analyst-Olam-SVI-Giza-Egypt?o=39&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst,"6th of October, Giza, Egypt",Olam SVI -,Full TimeEntry Level · 0 - 1 Yrs of Exp · Business Development · Logistics/Supply Chain · Analyst/Research · Analysis · Data Analysis · MS Excel · Computer Science · Information Technology (IT) · English · SAP
/jobs/p/xUbexBC8BiNW-Processing-Officer-Science-Graduates-NEXtCARE-Cairo-Egypt?o=40&l=sp&t=sj&a=data science|search-v3|navbg,Processing Officer (Science Graduates),"New Cairo, Cairo, Egypt",NEXtCARE -,Full TimeShift BasedExperienced · 2+ Yrs of Exp · Administration · R&D/Science · Science · Health Care · Insurance · Data Entry · Veterinary · Data Processor · English · Administration
/jobs/p/ZCEoSVUTHVP3-Senior-Data-Analyst-Cairo-Egypt?o=41&l=sp&t=sj&a=data science|search-v3|navbg,Senior Data Analyst,"Heliopolis, Cairo, Egypt",Confidential -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analyst · business · Analysis · Data Analysis · Administration · Business Administration · Computer Science
/jobs/p/QULmM8c1vDma-Senior-RD-Analyst--Banha-Z2-Data-Qalubia-Egypt?o=42&l=sp&t=sj&a=data science|search-v3|navbg,Senior R&D Analyst- Banha,"Banha, Qalubia, Egypt",Z2 Data -,Full TimeExperienced · 2 - 5 Yrs of Exp · R&D/Science · Business Development · Analysis · business · Business Analysis · Communication · Communication skills · Data Analysis · English · R&amp;D
/jobs/p/nSRwFNn4RWwx-Health-Care-Technical-Support-Sidra-Cairo-Egypt?o=43&l=sp&t=sj&a=data science|search-v3|navbg,Health Care Technical Support,"Heliopolis, Cairo, Egypt",Sidra -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Medical/Healthcare · computer · Healthcare · ITIL · Technical Support · IT Service Management · Information Technology (IT) · Hospitality · MS Office
/jobs/p/NBf7TPtxIAoD-BI-Developer-Perfect-Presentation-Giza-Egypt?o=44&l=sp&t=sj&a=data science|search-v3|navbg,BI Developer,"6th of October, Giza, Egypt",Perfect Presentation -,Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · BI · Information Technology (IT) · Computer Science · SSIS · SQL · SSRS · Oracle · OLAP
/jobs/p/Mf1k9Dc3poFD-Junior-Data-Quality-Engineer-Worex-Cairo-Egypt?o=45&l=sp&t=sj&a=data science|search-v3|navbg,Junior Data Quality Engineer,"Maadi, Cairo, Egypt",Worex -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Management · Information Technology (IT) · data quality
/jobs/p/FBpizNd0T9sS-Data-Analyst-INSITE-OOH-Cairo-Egypt?o=46&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst,"Zamalek, Cairo, Egypt",INSITE OOH -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Data Analysis · Python · Tableau · BI · Media Monitoring · Mass Media · Data Analytics
/jobs/p/VLWdhbaQDPJ0-Development-Team-Leader-egabi-solutions-Cairo-Egypt?o=47&l=sp&t=sj&a=data science|search-v3|navbg,Development Team Leader,"Cairo, Egypt",egabi solutions -,Full TimeManager · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Banks · Design Patters · Data Structures · Algorithms · OOP · Java
/jobs/p/v9h2GY1XFVds-Power-BI-Developer-FlairsTech-Cairo-Egypt?o=48&l=sp&t=sj&a=data science|search-v3|navbg,Power BI Developer,"Maadi, Cairo, Egypt",FlairsTech -,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI Developer · BI · business · SQL · Development · Data
/jobs/p/QY4Ui5Db0XpF-Network-Engineer-e-finance-Giza-Egypt?o=49&l=sp&t=sj&a=data science|search-v3|navbg,Network Engineer,"Abu Rawash, Giza, Egypt",e-finance -,Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Banking · Information Technology (IT) · CCNP · Cloud · Communication · Cisco · computer
/jobs/p/3Prgdh0XYKnp-Senior-RD-Analyst-Z2-Data-Cairo-Egypt?o=50&l=sp&t=sj&a=data science|search-v3|navbg,Senior R&D Analyst,"Nasr City, Cairo, Egypt",Z2 Data -,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · Business Development · Analyst/Research · Analysis · business · Business Analysis · Communication · Communication skills · Computer Science · Data Analysis
/jobs/p/MCMyfGVYPQJl-Head-of-Science-Department---UAE-Liwa-Education-Al-Ain-United-Arab-Emirates?o=51&l=sp&t=sj&a=data science|search-v3|navbg,Head of Science Department - UAE,"Al Ain, United Arab Emirates",Liwa Education  -,Full TimeManager · 6+ Yrs of Exp · Operations/Management · Education/Teaching · Education · Teaching · Curriculum · science · Chemistry
/jobs/p/CVtiKoKUk3hY-Front-End-Developer-Vuejs-Dafa-Giza-Egypt?o=52&l=sp&t=sj&a=data science|search-v3|navbg,Front End Developer (Vue.js),"Haram, Giza, Egypt",Dafa -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · front-end · Information Technology (IT) · JavaScript · Programming · SEO · Software Development · Web Development
/jobs/p/ChZqSmbjw5i9-Power-BI-Developer-Sutherland-Alexandria-Egypt?o=53&l=sp&t=sj&a=data science|search-v3|navbg,Power BI Developer,"Alexandria, Egypt",Sutherland -,Full TimeWork From HomeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Intelligence · DAX · Power BI · SQL · BI · Data Warehousing · Python
/jobs/p/K3jdL18dal1E-Implementation-Engineer-Trufla-Cairo-Egypt?o=54&l=sp&t=sj&a=data science|search-v3|navbg,Implementation Engineer,"Heliopolis, Cairo, Egypt",Trufla -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · Django · HTML · CSS · JavaScript · Data Processing · React · Linux Operating System
/jobs/p/20bdQ07Rkb5C-Database-Administrator-Perfect-Presentation-Giza-Egypt?o=55&l=sp&t=sj&a=data science|search-v3|navbg,Database Administrator,"6th of October, Giza, Egypt",Perfect Presentation -,Full TimeExperienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Database · Database Administrator · DBA · Computer Science · Data Backup · Database Design · Information Technology (IT)
/jobs/p/IEhjrumWL67P-Senior-Software-Business-Analyst-ERP-Cairo-Egypt?o=56&l=sp&t=sj&a=data science|search-v3|navbg,Senior Software Business Analyst / ERP,"Maadi, Cairo, Egypt",Confidential -,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Agile · Analysis · business · Computer Science · Data Analysis · ERP · Information Technology (IT)
/jobs/p/9txtopQlonT0-Database-Administrator-Egyptian-Medical-Syndicates-Union-Cairo-Egypt?o=57&l=sp&t=sj&a=data science|search-v3|navbg,Database Administrator,"Garden City, Cairo, Egypt",Egyptian Medical Syndicates Union -,Full TimeExperienced · 5 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Oracle · PostgreSQL · SQL · Databases · DBA · ERP · NoSQL · Administration
/jobs/p/JnFcJYrdgNyV-Senior-Java-Developer-egabi-solutions-Cairo-Egypt?o=58&l=sp&t=sj&a=data science|search-v3|navbg,Senior Java Developer,"Cairo, Egypt",egabi solutions -,Full TimeExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Information Technology (IT) · Java · Banks · Design Patters · Web Development · SQL
/jobs/p/cZCmCYjVRneW-iOS-Developer-Madar-Soft-Alexandria-Egypt?o=59&l=sp&t=sj&a=data science|search-v3|navbg,iOS Developer,"Fleming, Alexandria, Egypt",Madar Soft -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Git · Information Technology (IT) · RESTful APIs · RESTful · Software Development · Swift · Objective-C · APIs
